20.9.2012 15:23:30;2,1;1,5;2,1;1,9;2,0;102315;21;15;-7,1;1023
20.9.2012 15:30:55;2,0;1,4;2,1;1,9;1,9;102297;16;13;-12,1;-1
20.9.2012 15:33:25;2,0;1,4;2,1;1,9;1,9;102295;16;13;-12,1;-1
20.9.2012 15:36:53;8,5;8,5;8,5;8,5;8,5;102297;22;14;-7,3;1023
20.9.2012 15:50:58;21,1;14,6;21,6;19,4;20,0;102294;22;14;-7,3;1023
20.9.2012 15:53:25;8,5;8,5;8,5;8,5;8,5;102294;22;14;-7,3;1023
20.9.2012 15:53:50;2,1;1,4;2,1;1,9;2,0;102288;22;14;-7,3;1023
20.9.2012 15:54:15;2,1;1,4;2,1;1,9;2,0;102292;22;14;-7,3;1023
20.9.2012 15:54:41;2,1;1,4;2,1;1,9;2,0;102290;22;14;-7,3;-1
20.9.2012 15:58:41;8,5;8,5;8,5;8,5;8,5;102288;22;14;-7,3
20.9.2012 15:59:06;2,1;1,4;2,1;1,9;1,9;102274;22;14;-7,3
20.9.2012 15:59:31;2,1;1,4;2,1;1,9;1,9;102293;22;14;-7,3
20.9.2012 15:59:57;2,1;1,4;2,1;1,9;1,9;102289;22;14;-7,3
20.9.2012 16:00:22;2,1;1,4;2,1;1,9;1,9;102295;22;14;-7,3
20.9.2012 16:00:47;2,1;1,4;2,1;1,9;1,9;102285;22;14;-7,3
20.9.2012 16:01:12;2,1;1,4;2,1;1,9;1,9;102289;22;14;-7,3
20.9.2012 16:01:37;2,1;1,4;2,1;1,9;1,9;102285;22;14;-7,3
20.9.2012 16:02:02;2,1;1,4;2,1;1,9;1,9;102292;22;14;-7,3
20.9.2012 16:02:27;2,1;1,4;2,1;1,9;1,9;102290;22;14;-7,3
20.9.2012 16:02:52;2,1;1,4;2,1;1,9;1,9;102290;22;14;-7,3
20.9.2012 16:03:17;2,0;1,4;2,1;1,9;1,9;102278;22;14;-7,3
20.9.2012 16:03:42;2,0;1,4;2,1;1,9;1,9;102292;22;14;-7,3
20.9.2012 16:04:08;2,0;1,4;2,1;1,9;1,9;102288;22;14;-7,3
20.9.2012 16:04:33;2,0;1,4;2,1;1,9;1,9;102285;22;14;-7,3
20.9.2012 16:04:59;2,0;1,4;2,1;1,9;1,9;102281;22;14;-7,3
20.9.2012 16:05:24;2,0;1,4;2,1;1,9;1,9;102282;22;14;-7,3
20.9.2012 16:05:52;2,0;1,4;2,1;1,9;1,9;102280;22;14;-7,3
20.9.2012 16:06:18;2,0;1,4;2,1;1,9;1,9;102283;22;14;-7,3
20.9.2012 16:06:43;2,0;1,4;2,1;1,9;1,9;102291;22;14;-7,3
20.9.2012 16:07:08;2,0;1,4;2,1;1,9;1,9;102291;22;14;-7,3
20.9.2012 16:07:33;2,0;1,4;2,1;1,9;1,9;102278;22;14;-7,3
20.9.2012 16:07:58;2,0;1,4;2,1;1,9;1,9;102287;22;14;-7,3
20.9.2012 16:08:23;8,5;8,5;8,5;8,5;8,5;102289;22;14;-7,3
20.9.2012 16:08:48;2,0;1,4;2,1;1,9;1,9;102280;22;14;-7,3
20.9.2012 16:09:13;2,0;1,4;2,1;1,9;1,9;102278;22;14;-7,3
20.9.2012 16:09:38;2,0;1,4;2,1;1,9;1,9;102282;22;14;-7,3
20.9.2012 16:10:03;2,0;1,4;2,1;1,9;1,9;102287;22;14;-7,3
20.9.2012 16:10:28;2,0;1,4;2,1;1,9;1,9;102280;22;14;-7,3
20.9.2012 16:10:53;2,1;1,4;2,1;1,9;1,9;102288;22;14;-7,3
20.9.2012 16:11:19;2,1;1,4;2,1;1,9;1,9;102283;22;14;-7,3
20.9.2012 16:11:44;8,5;8,5;8,5;8,5;8,5;102287;22;14;-7,3
20.9.2012 16:12:09;2,1;1,3;2,1;1,9;1,9;102284;22;14;-7,3
